Source,Target,Type,Kind,Id,Label,timeset,Weight
@sporf,@philfoden,Directed,Mention,4269,,"<[2021-05-29T19:47:14.063Z, 2021-05-29T19:49:19.195Z, 2021-05-29T19:49:21.639Z, 2021-05-29T19:51:25.173Z, 2021-05-29T19:51:32.066Z, 2021-05-29T19:52:07.909Z, 2021-05-29T19:52:09.065Z, 2021-05-29T19:52:13.933Z, 2021-05-29T19:52:13.934Z, 2021-05-29T19:52:17.943Z, 2021-05-29T19:52:47.080Z, 2021-05-29T19:52:49.131Z, 2021-05-29T19:53:55.119Z, 2021-05-29T19:54:00.885Z]>",14
@khayae_,@bbcsport,Directed,Mention,4287,,<[2021-05-29T19:47:14.266Z]>,1
@khayae_,@bbcsport,Directed,Retweet,4288,,<[2021-05-29T19:47:14.266Z]>,1
@lapijamaderayas,@goal,Directed,Mention,4302,,<[2021-05-29T19:47:14.867Z]>,1
@lapijamaderayas,@goal,Directed,Retweet,4303,,<[2021-05-29T19:47:14.867Z]>,1
@theobajohn,@championsleague,Directed,Mention,4313,,<[2021-05-29T19:47:14.964Z]>,1
@theobajohn,@championsleague,Directed,Retweet,4314,,<[2021-05-29T19:47:14.964Z]>,1
@vickyyberry,@asisatoshoala,Directed,Mention,4317,,<[2021-05-29T19:47:14.987Z]>,1
@vickyyberry,@asisatoshoala,Directed,Retweet,4318,,<[2021-05-29T19:47:14.987Z]>,1
@varskysports,@dribblingfutbol,Directed,Quote,4329,,"<[2021-05-29T19:47:15.167Z, 2021-05-29T19:47:49.940Z, 2021-05-29T19:47:52.162Z, 2021-05-29T19:49:15.995Z, 2021-05-29T19:49:35.848Z, 2021-05-29T19:49:49.145Z, 2021-05-29T19:51:47.221Z, 2021-05-29T19:52:00.034Z, 2021-05-29T19:52:12.983Z]>",9
@danfdch,@chelseafc,Directed,Mention,4405,,"<[2021-05-29T19:47:16.142Z, 2021-05-29T19:54:04.260Z]>",2
@danfdch,@chelseafc,Directed,Retweet,4406,,"<[2021-05-29T19:47:16.142Z, 2021-05-29T19:54:04.260Z]>",2
@triks__amg,@trollfootball,Directed,Mention,4435,,<[2021-05-29T19:47:16.884Z]>,1
@triks__amg,@trollfootball,Directed,Retweet,4436,,<[2021-05-29T19:47:16.885Z]>,1
@dejiplus,@championsleague,Directed,Mention,4441,,<[2021-05-29T19:47:16.887Z]>,1
@josephstravato,@chelseafcinusa,Directed,Mention,4517,,<[2021-05-29T19:47:18.116Z]>,1
@josephstravato,@chelseafcinusa,Directed,Quote,4518,,<[2021-05-29T19:47:18.116Z]>,1
@josephstravato,@chelseafcinusa,Directed,Retweet,4519,,<[2021-05-29T19:47:18.116Z]>,1
@futbol_oficiall,@ligadecampeones,Directed,Mention,4524,,"<[2021-05-29T19:47:18.117Z, 2021-05-29T19:52:21.137Z, 2021-05-29T19:53:19.891Z]>",3
@futbol_oficiall,@mancityes,Directed,Mention,4525,,"<[2021-05-29T19:47:18.117Z, 2021-05-29T19:52:21.137Z]>",2
@futbol_oficiall,@ligadecampeones,Directed,Retweet,4526,,"<[2021-05-29T19:47:18.117Z, 2021-05-29T19:52:21.138Z, 2021-05-29T19:53:19.891Z]>",3
